,Datetime,Tweet Id,Text,Username
37,2021-03-18 06:56:36+00:00,1372441792822407168,  के तहत दुनिया के कुल कोविड-19 वैक्सीन का 36% डोज भारत में दिया गया। याद रखें कि महामारी अभी खत्म नहीं हुई है! हमेशा कोविड उचित व्यवहार का पालन करें।   से जुड़ी जानकारी के लिए विजिट करें:       ,AMRITABHUSAN
38,2021-03-18 06:27:17+00:00,1372434413431123968,"  

📍बदलकर अपना व्यवहार, करें   पर वार। 

  से डरें नहीं बल्कि पूरी सावधानी के साथ इसका मुक़ाबला करें।

       ",FOBSrinagar
39,2021-03-18 06:25:29+00:00,1372433961977139202,"  

कोविड वैक्सीन की
पूरी डोज़ लेनी है ज़रूरी,
तभी बनी रहेगी 
कोरोना से दूरी 

  

    
 
 
  
       ",FOBSrinagar
40,2021-03-18 04:40:19+00:00,1372407496631980033,"कोरोना के खिलाफ देश की लड़ाई को एक साल से ज्यादा हो रहा है। 

भारत के लोगों ने कोरोना का जिस तरह मुकाबला किया है, उसे लोग उदाहरण के रूप में प्रस्तुत करते हैं।

 - प्रधानमंत्री श्री   जी    ",iAbhishek2000
41,2021-03-17 16:30:59+00:00,1372223953020747776,"इंदौर में आज से रात 10 बजे से सुबह 6 बजे तक के लिए प्रतिबंधात्मक आदेश जारी किए गए हैं। यह कर्फ्यू नहीं है। सुनिए श्री मनीष सिंह जी (कलेक्टर, इंदौर) को।

       ",RJGaurrav
42,2021-03-17 14:16:52+00:00,1372190201439748099,"अंतर संसदीय संघ प्रमुख दुआरते पैचेको ने महामारी के दौरान प्रधानमंत्री मोदी के काम की प्रशंसा की
 
 

via NaMo App  ",BjymGmail
43,2021-03-17 14:14:52+00:00,1372189698953785349,"अंतर संसदीय संघ प्रमुख दुआरते पैचेको ने महामारी के दौरान प्रधानमंत्री मोदी के काम की प्रशंसा की
 
 

via NaMo App  ",begusarai_spk
44,2021-03-17 09:53:21+00:00,1372123883440984069,"Modi: Janta ne Saath Diya! 
Janta: Aapne kya kiya? 

  
     ",KirthiGanesh1
45,2021-03-17 09:30:12+00:00,1372118057536036871,"कोरोना का टीका अवश्य लगवाएं यह पूर्णतः सुरक्षित है।
 
   ",YogiSahu400
46,2021-03-17 08:50:08+00:00,1372107974672453632,हमारी इस लड़ाई में जनता जनार्दन से हमको जूझना नहीं पड़ा सब का साथ मिला सब ने साथ मिलकर लड़ाई की:   on    ,payalmehta100
47,2021-03-17 06:51:54+00:00,1372078220539924484,"  

📍बदलकर अपना व्यवहार, करें   पर वार। 

  से डरें नहीं बल्कि पूरी सावधानी के साथ इसका मुक़ाबला करें।

       ",FOBSrinagar
48,2021-03-17 05:52:11+00:00,1372063190742224897,"मात्र 15 दिनों में 60 वर्ष से अधिक आयु के 1 करोड़ से ज्यादा लोगों का हुआ टीकाकरण !!

    
  
   ",IrfanAhmadBJP11
49,2021-03-17 04:52:28+00:00,1372048166141394944,"   
   
   
ये दवा है,दवा ही रहने दो,दबाओ मत
ये धर्म नहीं कि उछाल दो किसी पर
ये मुक्ति देने की नहीं,पाने की जिद है 
ये आचार्य सुश्रुत ,जीवक,बह्ममिहिर और चरक की धरती है ...
अतएव,सर्वे भवन्तु सुखिन,सर्वे सन्तु निरामया..!!!
🇮🇳🇮🇳🇮🇳🇮🇳👏👏👏",MaheshP41299169
50,2021-03-17 01:55:52+00:00,1372003720934780929,"  

2021 का मंत्र हो यही 
""दवाई भी और कड़ाई भी"" 

✅मास्क हमेशा व ठीक से लगाएँ 😷
✅दो गज़ दूरी बनाए रखें 🧍‍♂️↔️🧍
✅समय समय पर हाथ धोएँ/सैनिटाइज़ करें 👐 

     
           ",prodefencejammu
51,2021-03-16 17:10:18+00:00,1371871459228852224,"Do gaj doori... Mask hai zaroori. 

                         ",caramjeet
52,2021-03-16 07:22:28+00:00,1371723527343144962,"  

         टीका जब लगवाएंगे आप,
तभी दे पाएंगे अपनों को सुरक्षा का उपहार

  

    
   
 
   ",FOBSrinagar
53,2021-03-16 07:18:11+00:00,1371722446743633920,"कोरोना संक्रमण से बचने का उपयोगी तरीका, मास्क के साथ अपनाएं साबुन से हाथ धोने का सलीका। 

    
  

              ",FOBSrinagar
54,2021-03-16 07:17:29+00:00,1371722270750633984," 

मास्क आपका सुरक्षा कवच है। जब भी घर से बाहर जाएं, मास्क ज़रूर पहनें और खुद को सुरक्षित रखें। 

2 गज की दूरी, मास्क है ज़रूरी।

      
               ",prodefencejammu
55,2021-03-16 01:56:57+00:00,1371641605728346116,2 गज की दूरी मास्क है जरूरी 🙏🏻कृपया आप लोग लापरवाही ना बरतें करो ना एक बार पुनः वापसी  करता हुआ भारत में ए हमारी लापरवाही की वजह से हो रहा है कृपया आप लोग सोशल डिस्टेंसिंग पालन करें और मास्क जरूर पहने धन्यवाद  ,AnujSin20025524
56,2021-03-15 15:22:05+00:00,1371481837093203971,"कोविड-19 के वैक्सीनेशन सेंटर, फरीदाबाद की सरकारी व प्राइवेट अस्पतालों की सूची। अधिक जानकारी के लिए हैल्पलाईन नं० 108 (टोल फ्री), 0129-2415623 व 8882616056 पर सम्पर्क करें।

“आप निश्चिन्त रहें, कोविड-19 वैक्सीन सुरक्षित व असरदार है”

     ",DistrictAdm_FBD
57,2021-03-15 14:39:13+00:00,1371471047728369673,"भारत की इनोक्यूलेशन ड्राइव अब दुनिया में दूसरी सबसे बड़ी है
 
 
  via NaMo App  ",BjymGmail
58,2021-03-15 10:07:13+00:00,1371402596334772226,"  देश के सबसे बड़े टीकाकरण अभियान को आप कैसे देखते हैं ?

  |   

  |   |      ",FOBSrinagar
59,2021-03-15 10:06:06+00:00,1371402318206300164,"देश के सबसे बड़े टीकाकरण अभियान को आप कैसे देखते हैं ?

  |   
 
 
       ",FOBSrinagar
60,2021-03-15 07:33:46+00:00,1371363982133526535,"कोरोना से डरें नहीं, सावधानी बरतें। 
हमेशा अपना फेस-कवर/मास्क सही तरीके से पहनें, बार-बार हाथ धोएं और दूसरों से दो गज की दूरी बना कर रखें। 

 
 ",jasimmohammad_
61,2021-03-15 07:18:21+00:00,1371360100506505216,"टीकाकरण के बाद भी मास्क पहनना जरुरी है। कोरोना का खतरा अभी पूरी तरह से खत्म नहीं हुआ है। याद रहे कि अब हमें दवाई के साथ-साथ कड़ाई भी रखनी है।     
   ",CollectorPanna
